Model,MPN,Body Color,Brand,UPC,Body Material,Body Type,Model Year,Size,Country/Region of Manufacture,String Configuration,Orientation,Product Line,Condition,Price
OTHER,NOT AVAILABLE,BLACK,OTHER,NOT AVAILABLE,OTHER,SOLID,2019.0,FULL SIZE,NOT AVAILABLE,6 STRING,RIGHT-HANDED,OTHER,Used,199.99
OTHER,PROVIDED,OTHER,TAYLOR,NOT AVAILABLE,KOA,OTHER,2006.0,OTHER,NOT AVAILABLE,6 STRING,RIGHT-HANDED,OTHER,Used,2000.0
OTHER,PROVIDED,OTHER,OTHER,NOT AVAILABLE,OTHER,OTHER,2019.0,OTHER,NOT AVAILABLE,6 STRING,RIGHT-HANDED,OTHER,NOT AVAILABLE,26.0
OTHER,PROVIDED,BLACK,IBANEZ,NOT AVAILABLE,OTHER,SOLID,1985.0,FULL SIZE,JAPAN,6 STRING,RIGHT-HANDED,OTHER,Used,2000.0
STRATOCASTER HSS,NOT AVAILABLE,VINTAGE SUNBURST,OTHER,PROVIDED,OTHER,SOLID,2019.0,FULL SIZE,NOT AVAILABLE,6 STRING,RIGHT-HANDED,OTHER,Used,195.0
OTHER,PROVIDED,NATURAL,GRETSCH,PROVIDED,WALNUT,OTHER,2020.0,OTHER,NOT AVAILABLE,6 STRING,RIGHT-HANDED,GRETSCH ELECTROMATIC,New,499.99
OTHER,NOT AVAILABLE,RED,FIREFLY,PROVIDED,MAPLE,HOLLOW,2019.0,FULL SIZE,NOT AVAILABLE,6 STRING,RIGHT-HANDED,OTHER,New,205.0
STRATOCASTER,NOT AVAILABLE,BLACK,FENDER,NOT AVAILABLE,OTHER,SOLID,2007.0,FULL SIZE,MEXICO,6 STRING,RIGHT-HANDED,FENDER STRATOCASTER,Used,349.99
LES PAUL TRADITIONAL,NOT AVAILABLE,BLUE,EPIPHONE,NOT AVAILABLE,OTHER,SOLID,2019.0,FULL SIZE,CHINA,6 STRING,RIGHT-HANDED,EPIPHONE LES PAUL,NOT AVAILABLE,192.5
OTHER,PROVIDED,OTHER,FENDER,PROVIDED,OTHER,ELECTRIC GUITAR,2019.0,OTHER,UNITED STATES,OTHER,RIGHT-HANDED,OTHER,Open box,1079.99
OTHER,NOT AVAILABLE,SUNBURST,FENDER,NOT AVAILABLE,OTHER,OTHER,2019.0,OTHER,MEXICO,6 STRING,RIGHT-HANDED,FENDER TELECASTER,Used,374.99
OTHER,NOT AVAILABLE,SUNBURST,OTHER,NOT AVAILABLE,OTHER,SEMI-HOLLOW,2019.0,FULL SIZE,NOT AVAILABLE,6 STRING,RIGHT-HANDED,OTHER,Used,127.5
CLASSIC,PROVIDED,OTHER,SQUIER,NOT AVAILABLE,MAPLE,SOLID,2019.0,FULL SIZE,NOT AVAILABLE,6 STRING,RIGHT-HANDED,OTHER,NOT AVAILABLE,196.5
OTHER,PROVIDED,OTHER,OTHER,NOT AVAILABLE,WALNUT,SOLID,2018.0,22.5 SCALE,NOT AVAILABLE,6 STRING,RIGHT-HANDED,OTHER,Used,31.0
OTHER,NOT AVAILABLE,RED,B.C. RICH,PROVIDED,OTHER,SOLID,2019.0,OTHER,NOT AVAILABLE,6 STRING,NOT AVAILABLE,OTHER,Seller refurbished,375.0
OTHER,NOT AVAILABLE,RED,OTHER,NOT AVAILABLE,ASH,SOLID,2019.0,FULL SIZE,NOT AVAILABLE,6 STRING,RIGHT-HANDED,OTHER,NOT AVAILABLE,225.0
HSS,PROVIDED,OTHER,FENDER,PROVIDED,ALDER,SOLID,2019.0,OTHER,NOT AVAILABLE,6 STRING,NOT AVAILABLE,OTHER,Used,720.0
OTHER,PROVIDED,OTHER,GRETSCH,PROVIDED,ALDER,SOLID,2019.0,OTHER,CHINA,6 STRING,RIGHT-HANDED,OTHER,New,549.99
OTHER,PROVIDED,OTHER,SQUIER,PROVIDED,ALDER,SOLID,2019.0,OTHER,NOT AVAILABLE,6 STRING,NOT AVAILABLE,OTHER,Used,169.0
LES PAUL JUNIOR,PROVIDED,OTHER,EPIPHONE,PROVIDED,MAHOGANY,OTHER,2019.0,OTHER,NOT AVAILABLE,6 STRING,NOT AVAILABLE,EPIPHONE LES PAUL,Used,120.0
OTHER,NOT AVAILABLE,BLUE,FIREFLY,NOT AVAILABLE,MAHOGANY,SEMI-HOLLOW,2019.0,OTHER,NOT AVAILABLE,6 STRING,RIGHT-HANDED,OTHER,New,139.96
LES PAUL STUDIO,NOT AVAILABLE,RED,OTHER,PROVIDED,OTHER,OTHER,2004.0,OTHER,NOT AVAILABLE,6 STRING,RIGHT-HANDED,GIBSON LES PAUL,Used,600.0
OTHER,NOT AVAILABLE,ORANGE,FIREFLY,NOT AVAILABLE,MAHOGANY,SEMI-HOLLOW,2019.0,OTHER,NOT AVAILABLE,6 STRING,RIGHT-HANDED,OTHER,New,139.96
OTHER,NOT AVAILABLE,BLACK,OTHER,NOT AVAILABLE,SPRUCE,OTHER,2019.0,OTHER,NOT AVAILABLE,6 STRING,NOT AVAILABLE,OTHER,New,159.0
OTHER,PROVIDED,BLACK,OTHER,PROVIDED,OTHER,OTHER,2019.0,OTHER,NOT AVAILABLE,OTHER,NOT AVAILABLE,OTHER,Manufacturer refurbished,100.0
OTHER,NOT AVAILABLE,OTHER,OTHER,NOT AVAILABLE,OTHER,OTHER,2019.0,OTHER,NOT AVAILABLE,OTHER,NOT AVAILABLE,OTHER,New,135.0
OTHER,PROVIDED,OTHER,OTHER,PROVIDED,SOLID WOOD,SOLID,2019.0,OTHER,CHINA,6 STRING,RIGHT-HANDED,OTHER,New,62.99
OTHER,PROVIDED,OTHER,OTHER,PROVIDED,OTHER,OTHER,2019.0,OTHER,NOT AVAILABLE,6 STRING,RIGHT-HANDED,OTHER,New,29.8
OTHER,NOT AVAILABLE,OTHER,UNBRANDED,NOT AVAILABLE,SOLID WOOD,SOLID,2019.0,OTHER,CHINA,6 STRING,RIGHT-HANDED,OTHER,New,115.64
OTHER,PROVIDED,OTHER,OTHER,NOT AVAILABLE,"SOLID WOOD, BASSWOOD",SOLID,2019.0,FULL SIZE,CHINA,6 STRING,RIGHT-HANDED,OTHER,New,79.95
OTHER,NOT AVAILABLE,OTHER,UNBRANDED,NOT AVAILABLE,OTHER,OTHER,2019.0,OTHER,NOT AVAILABLE,6 STRING,RIGHT-HANDED,OTHER,New,56.99
OTHER,NOT AVAILABLE,OTHER,GRETSCH,PROVIDED,OTHER,OTHER,2019.0,OTHER,NOT AVAILABLE,OTHER,NOT AVAILABLE,OTHER,Used,359.99
OTHER,PROVIDED,OTHER,JACKSON,PROVIDED,OTHER,OTHER,2019.0,OTHER,NOT AVAILABLE,OTHER,NOT AVAILABLE,OTHER,Used,209.0
OTHER,NOT AVAILABLE,OTHER,FENDER,PROVIDED,OTHER,OTHER,2019.0,OTHER,NOT AVAILABLE,OTHER,NOT AVAILABLE,OTHER,Used,159.99
SG SPECIAL,NOT AVAILABLE,OTHER,GIBSON,PROVIDED,OTHER,OTHER,2018.0,OTHER,UNITED STATES,6 STRING,RIGHT-HANDED,GIBSON SG,Used,679.0
OTHER,PROVIDED,BLUE,SCHECTER,PROVIDED,MAHOGANY,OTHER,2019.0,FULL SIZE,NOT AVAILABLE,6 STRING,NOT AVAILABLE,OTHER,NOT AVAILABLE,379.0
OTHER,NOT AVAILABLE,OTHER,EPIPHONE,NOT AVAILABLE,"MAHOGANY, SOLID WOOD",SOLID,2019.0,OTHER,CHINA,6 STRING,RIGHT-HANDED,OTHER,NOT AVAILABLE,799.0
OTHER,PROVIDED,OTHER,OTHER,NOT AVAILABLE,OTHER,OTHER,2019.0,FULL SIZE,KOREA,6 STRING,RIGHT-HANDED,OTHER,Used,390.0
OTHER,PROVIDED,OTHER,FENDER,PROVIDED,OTHER,OTHER,2019.0,OTHER,MEXICO,OTHER,NOT AVAILABLE,OTHER,Open box,799.99
OTHER,NOT AVAILABLE,SUNBURST,ESP,PROVIDED,OTHER,SOLID,2019.0,OTHER,VIETNAM,6 STRING,RIGHT-HANDED,ESP LTD,Used,299.0
OTHER,PROVIDED,BLACK,ESP,NOT AVAILABLE,OTHER,SOLID,2019.0,OTHER,NOT AVAILABLE,6 STRING,RIGHT-HANDED,OTHER,Used,207.5
OTHER,NOT AVAILABLE,OTHER,EPIPHONE,NOT AVAILABLE,OTHER,OTHER,2011.0,OTHER,NOT AVAILABLE,6 STRING,NOT AVAILABLE,OTHER,Used,1299.0
OTHER,NOT AVAILABLE,OTHER,GIBSON,PROVIDED,OTHER,HOLLOW,2006.0,OTHER,NOT AVAILABLE,6 STRING,RIGHT-HANDED,OTHER,Used,2133.0
OTHER,NOT AVAILABLE,OTHER,UNBRANDED,NOT AVAILABLE,OTHER,OTHER,2019.0,OTHER,CHINA,6 STRING,RIGHT-HANDED,OTHER,New,13.35
OTHER,NOT AVAILABLE,OTHER,OTHER,PROVIDED,ASH,SOLID,2019.0,OTHER,NOT AVAILABLE,6 STRING,RIGHT-HANDED,OTHER,Used,212.49
OTHER,NOT AVAILABLE,OTHER,IBANEZ,PROVIDED,OTHER,SOLID,2019.0,FULL SIZE,KOREA,6 STRING,RIGHT-HANDED,IBANEZ RG,Used,250.0
OTHER,NOT AVAILABLE,OTHER,OTHER,PROVIDED,OTHER,SOLID,2019.0,OTHER,NOT AVAILABLE,6 STRING,RIGHT-HANDED,OTHER,Used,191.5
CUSTOM,NOT AVAILABLE,OTHER,ESP,PROVIDED,OTHER,SOLID,1998.0,FULL SIZE,JAPAN,6 STRING,NOT AVAILABLE,OTHER,Used,750.0
CUSTOM,NOT AVAILABLE,OTHER,JACKSON,PROVIDED,OTHER,OTHER,2019.0,OTHER,NOT AVAILABLE,6 STRING,RIGHT-HANDED,OTHER,Used,1800.0
OTHER,NOT AVAILABLE,OTHER,UNBRANDED,PROVIDED,OTHER,SOLID,2019.0,FULL SIZE,NOT AVAILABLE,6 STRING,RIGHT-HANDED,OTHER,NOT AVAILABLE,104.0
